날짜,BPU,회원구분,CR,객단가,거래액,구매객수,트래픽
2025-11-03,e-영업2,전체,5.950095969289827,223770.6093189964,62431999.99999999,279.0,4689.0
2025-11-04,e-영업2,전체,5.901077375122429,247049.26442851752,59538872.72727272,241.0,4084.0
2025-11-05,e-영업2,전체,4.527845036319612,293919.0568789499,54962863.63636363,187.0,4130.0
2025-11-06,e-영업2,전체,4.943064182194616,250903.61732508327,47922590.90909091,191.0,3864.0
2025-11-07,e-영업2,전체,4.5405982905982905,273007.6470588235,46411299.99999999,170.0,3744.0
2025-11-08,e-영업2,전체,6.022584692597239,348442.2727272727,83626145.45454545,240.0,3985.0
2025-11-09,e-영업2,전체,9.58904109589041,312610.36931818177,140049445.45454544,448.0,4672.0
2025-11-10,e-영업2,전체,6.4484126984126995,300265.0699300699,78068918.18181817,260.0,4032.0
2025-11-11,e-영업2,전체,5.58530986993114,271663.09672063094,59494218.18181818,219.0,3921.0
2025-11-12,e-영업2,전체,6.380780160165332,262101.25138019872,64739009.090909086,247.0,3871.0
2025-11-13,e-영업2,전체,6.026103860038878,208730.3728529535,45294490.90909091,217.0,3601.0
2025-11-14,e-영업2,전체,6.141127841747859,252729.32692307688,52567699.99999999,208.0,3387.0
2025-11-15,e-영업2,전체,8.444558521560575,294045.23348991433,96740881.81818181,329.0,3896.0
2025-11-16,e-영업2,전체,9.183673469387756,324236.6271409749,134233963.63636363,414.0,4508.0
2025-11-17,e-영업2,전체,7.774201535033424,235881.47075854082,74066781.81818181,314.0,4039.0
2025-11-18,e-영업2,전체,7.137758743754461,233097.81818181818,69929345.45454545,300.0,4203.0
2025-11-19,e-영업2,전체,5.185589519650655,249944.01913875598,47489363.63636363,190.0,3664.0
2025-11-20,e-영업2,전체,5.871670702179177,232820.3842549203,45167154.54545454,194.0,3304.0
2025-11-21,e-영업2,전체,4.814264487369986,224529.57351290682,36373790.90909091,162.0,3365.0
2025-11-22,e-영업2,전체,6.329787234042553,297838.00611153553,70885445.45454545,238.0,3760.0
2025-11-23,e-영업2,전체,9.774785233341072,339202.1161736126,142804090.9090909,421.0,4307.0
2025-11-24,e-영업2,전체,6.764705882352941,262181.71038447716,66331972.72727272,253.0,3740.0
2025-11-25,e-영업2,전체,6.946732564524987,229444.52030183256,58049463.63636363,253.0,3642.0
2025-11-26,e-영업2,전체,5.720823798627003,262676.7727272727,52535354.54545454,200.0,3496.0
2025-11-27,e-영업2,전체,7.2296124927703875,249439.67272727273,62359918.18181818,250.0,3458.0
2025-11-28,e-영업2,전체,5.442583732057416,358639.5604395604,65272399.99999999,182.0,3344.0
2025-11-29,e-영업2,전체,7.718951014349332,316330.2156177156,98695027.27272727,312.0,4042.0
2025-11-30,e-영업2,전체,9.088878963823136,324987.71498771495,132269999.99999999,407.0,4478.0
2025-12-01,e-영업2,전체,5.562332276164918,237263.2376395534,54096018.18181818,228.0,4099.0
2025-12-02,e-영업2,전체,5.63488016318205,218541.58782394076,48297690.90909091,221.0,3922.0
2025-12-03,e-영업2,전체,5.542671614100185,258641.0041841004,61815199.99999999,239.0,4312.0
2025-12-04,e-영업2,전체,7.030056036678553,247237.7799736495,68237627.27272727,276.0,3926.0
2025-12-05,e-영업2,전체,7.357594936708861,283368.0677745194,79059690.9090909,279.0,3792.0
2025-12-06,e-영업2,전체,7.9005660841742555,353854.4604927782,113587281.81818181,321.0,4063.0
2025-12-07,e-영업2,전체,10.161463939720129,360334.80354391364,170078027.27272725,472.0,4645.0
2025-12-08,e-영업2,전체,5.781325592646348,293608.5583872195,70172445.45454545,239.0,4134.0
2025-12-09,e-영업2,전체,5.485971943887775,265174.1801577418,58073145.45454545,219.0,3992.0
2025-12-10,e-영업2,전체,6.0101958679903404,226342.00487012984,50700609.090909086,224.0,3727.0
2025-12-11,e-영업2,전체,5.4620761066528605,228501.46488582506,48213809.090909086,211.0,3863.0
2025-12-12,e-영업2,전체,5.815923207227555,170650.0,35153900.0,206.0,3542.0
2025-12-13,e-영업2,전체,6.745647969052225,297386.2170087976,82970754.54545453,279.0,4136.0
2025-12-14,e-영업2,전체,9.565038136466708,335199.43181818177,155532536.36363634,464.0,4851.0
2025-12-15,e-영업2,전체,7.022677395757132,254200.97853535353,73209881.81818181,288.0,4101.0
2025-12-16,e-영업2,전체,5.2488441664400325,240199.76448422042,46358554.54545454,193.0,3677.0
2025-12-17,e-영업2,전체,5.031995346131471,205531.2664214398,35556909.090909086,173.0,3438.0
2025-12-18,e-영업2,전체,6.755581327921137,195908.97385875924,45646790.90909091,233.0,3449.0
2025-12-19,e-영업2,전체,7.837582625118037,255462.50456370937,63610163.63636363,249.0,3177.0
2025-12-20,e-영업2,전체,6.688563750373246,253447.5649350649,56772254.54545454,224.0,3349.0
2025-12-21,e-영업2,전체,10.76923076923077,296980.0936768149,126810499.99999999,427.0,3965.0
2025-12-22,e-영업2,전체,7.371007371007371,242974.07407407404,65602999.99999999,270.0,3663.0
2025-12-23,e-영업2,전체,4.465178273908697,95878.15468113976,12847672.727272727,134.0,3001.0
2025-12-24,e-영업2,전체,4.756795422031473,176322.00956937796,23450827.27272727,133.0,2796.0
2025-12-25,e-영업2,전체,9.768637532133676,309094.2583732057,117455818.18181817,380.0,3890.0
2025-12-26,e-영업2,전체,5.622837370242214,250550.86247086246,48857418.18181818,195.0,3468.0
2025-12-27,e-영업2,전체,6.937974993871047,265474.4298104722,75129263.63636363,283.0,4079.0
2025-12-28,e-영업2,전체,10.246207411091767,313507.281553398,129164999.99999999,412.0,4021.0
2025-12-29,e-영업2,전체,5.93886462882096,258669.69696969696,52768618.18181818,204.0,3435.0
2025-12-30,e-영업2,전체,5.894611491515332,255232.92011019282,50536118.18181818,198.0,3359.0
2025-12-31,e-영업2,전체,6.044637321760694,247646.29370629368,48291027.272727266,195.0,3226.0
2025-01-01,e-영업2,회원,10.344827586206897,241641.56565656562,43495481.81818181,180.0,1740.0
