날짜,BPU,회원구분,CR,객단가,거래액,구매객수,트래픽
2026년 07월 1주차,e-영업4,기존,12.5,75859.0,8875471.0,117.0,933.0
2026년 07월 2주차,e-영업4,기존,11.9,83410.0,10366645.0,124.0,1047.0
2026년 07월 3주차,e-영업4,기존,12.2,66043.0,7774245.0,118.0,961.0
2026년 07월 4주차,e-영업4,기존,11.4,60907.0,7080489.0,116.0,1024.0
2025년 01월 1주차,e-영업4,비회원,0.0,,0.0,0.0,4153.0
2025년 01월 2주차,e-영업4,비회원,0.0,,0.0,0.0,4861.0
2025년 01월 3주차,e-영업4,비회원,0.0,,0.0,0.0,4423.0
2025년 01월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3724.0
2025년 01월 5주차,e-영업4,비회원,0.0,,0.0,0.0,4085.0
2025년 02월 1주차,e-영업4,비회원,0.0,,0.0,0.0,4288.0
2025년 02월 2주차,e-영업4,비회원,0.0,,0.0,0.0,4132.0
2025년 02월 3주차,e-영업4,비회원,0.0,,0.0,0.0,4408.0
2025년 02월 4주차,e-영업4,비회원,0.0,,0.0,0.0,4249.0
2025년 03월 1주차,e-영업4,비회원,0.0,,0.0,0.0,4362.0
2025년 03월 2주차,e-영업4,비회원,0.0,,0.0,0.0,4312.0
2025년 03월 3주차,e-영업4,비회원,0.0,,0.0,0.0,4053.0
2025년 03월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3903.0
2025년 04월 1주차,e-영업4,비회원,0.0,,0.0,0.0,3784.0
2025년 04월 2주차,e-영업4,비회원,0.0,,0.0,0.0,3960.0
2025년 04월 3주차,e-영업4,비회원,0.0,,0.0,0.0,4227.0
2025년 04월 4주차,e-영업4,비회원,0.0,,0.0,0.0,4157.0
2025년 05월 1주차,e-영업4,비회원,0.0,,0.0,0.0,3867.0
2025년 05월 2주차,e-영업4,비회원,0.0,,0.0,0.0,4101.0
2025년 05월 3주차,e-영업4,비회원,0.0,,0.0,0.0,3904.0
2025년 05월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3651.0
2025년 05월 5주차,e-영업4,비회원,0.0,,0.0,0.0,3515.0
2025년 06월 1주차,e-영업4,비회원,0.0,,0.0,0.0,3534.0
2025년 06월 2주차,e-영업4,비회원,0.0,,0.0,0.0,3236.0
2025년 06월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2978.0
2025년 06월 4주차,e-영업4,비회원,0.0,,0.0,0.0,2800.0
2025년 07월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2770.0
2025년 07월 2주차,e-영업4,비회원,0.0,,0.0,0.0,3092.0
2025년 07월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2736.0
2025년 07월 4주차,e-영업4,비회원,0.0,,0.0,0.0,2850.0
2025년 07월 5주차,e-영업4,비회원,0.0,,0.0,0.0,2681.0
2025년 08월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2914.0
2025년 08월 2주차,e-영업4,비회원,0.0,,0.0,0.0,2546.0
2025년 08월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2510.0
2025년 08월 4주차,e-영업4,비회원,0.0,,0.0,0.0,2608.0
2025년 09월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2784.0
2025년 09월 2주차,e-영업4,비회원,0.0,,0.0,0.0,2652.0
2025년 09월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2819.0
2025년 09월 4주차,e-영업4,비회원,0.0,,0.0,0.0,2973.0
2025년 10월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2345.0
2025년 10월 2주차,e-영업4,비회원,0.0,,0.0,0.0,3040.0
2025년 10월 3주차,e-영업4,비회원,0.0,,0.0,0.0,3263.0
2025년 10월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3475.0
2025년 10월 5주차,e-영업4,비회원,0.0,,0.0,0.0,3743.0
2025년 11월 1주차,e-영업4,비회원,0.0,,0.0,0.0,3321.0
2025년 11월 2주차,e-영업4,비회원,0.0,,0.0,0.0,3264.0
2025년 11월 3주차,e-영업4,비회원,0.0,,0.0,0.0,3217.0
2025년 11월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3250.0
2025년 12월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2986.0
2025년 12월 2주차,e-영업4,비회원,0.0,,0.0,0.0,3134.0
2025년 12월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2594.0
2025년 12월 4주차,e-영업4,비회원,0.0,,0.0,0.0,2643.0
2026년 01월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2914.0
2026년 01월 2주차,e-영업4,비회원,0.0,,0.0,0.0,2592.0
2026년 01월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2651.0
2026년 01월 4주차,e-영업4,비회원,0.0,,0.0,0.0,2678.0
2026년 01월 5주차,e-영업4,비회원,0.0,,0.0,0.0,2441.0
2026년 02월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2675.0
2026년 02월 2주차,e-영업4,비회원,0.0,,0.0,0.0,2301.0
2026년 02월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2885.0
2026년 02월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3128.0
2026년 03월 1주차,e-영업4,비회원,0.0,,0.0,0.0,3170.0
2026년 03월 2주차,e-영업4,비회원,0.0,,0.0,0.0,2782.0
2026년 03월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2820.0
2026년 03월 4주차,e-영업4,비회원,0.0,,0.0,0.0,2803.0
2026년 04월 1주차,e-영업4,비회원,0.0,,0.0,0.0,3004.0
2026년 04월 2주차,e-영업4,비회원,0.0,,0.0,0.0,2937.0
2026년 04월 3주차,e-영업4,비회원,0.0,,0.0,0.0,3189.0
2026년 04월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3018.0
2026년 04월 5주차,e-영업4,비회원,0.0,,0.0,0.0,5207.0
2026년 05월 1주차,e-영업4,비회원,0.0,,0.0,0.0,6070.0
2026년 05월 2주차,e-영업4,비회원,0.0,,0.0,0.0,5794.0
2026년 05월 3주차,e-영업4,비회원,0.0,,0.0,0.0,5193.0
2026년 05월 4주차,e-영업4,비회원,0.0,,0.0,0.0,5242.0
2026년 06월 1주차,e-영업4,비회원,0.0,,0.0,0.0,5064.0
2026년 06월 2주차,e-영업4,비회원,0.0,,0.0,0.0,4260.0
2026년 06월 3주차,e-영업4,비회원,0.0,,0.0,0.0,3544.0
2026년 06월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3221.0
2026년 07월 1주차,e-영업4,비회원,0.0,,0.0,0.0,2933.0
2026년 07월 2주차,e-영업4,비회원,0.0,,0.0,0.0,3243.0
2026년 07월 3주차,e-영업4,비회원,0.0,,0.0,0.0,2964.0
2026년 07월 4주차,e-영업4,비회원,0.0,,0.0,0.0,3189.0
2025년 01월 1주차,e-영업4,신규,31.3,105976.0,4768938.0,45.0,144.0
2025년 01월 2주차,e-영업4,신규,25.9,103148.0,4671131.0,45.0,175.0
2025년 01월 3주차,e-영업4,신규,24.4,82117.0,3249474.0,40.0,162.0
2025년 01월 4주차,e-영업4,신규,22.6,74139.0,2435984.0,33.0,145.0
2025년 01월 5주차,e-영업4,신규,27.0,76472.0,3506804.0,46.0,170.0
2025년 02월 1주차,e-영업4,신규,20.2,85543.0,3323947.0,39.0,192.0
2025년 02월 2주차,e-영업4,신규,22.4,70313.0,2872781.0,41.0,182.0
2025년 02월 3주차,e-영업4,신규,24.0,72388.0,3567686.0,49.0,205.0
2025년 02월 4주차,e-영업4,신규,21.2,76156.0,3274699.0,43.0,203.0
2025년 03월 1주차,e-영업4,신규,22.7,81710.0,4295627.0,53.0,232.0
2025년 03월 2주차,e-영업4,신규,21.9,79323.0,3909499.0,49.0,225.0
2025년 03월 3주차,e-영업4,신규,21.1,78541.0,3725101.0,47.0,225.0
2025년 03월 4주차,e-영업4,신규,20.0,72447.0,2908214.0,40.0,201.0
2025년 04월 1주차,e-영업4,신규,19.1,68874.0,2745122.0,40.0,209.0
